,Belt1_length_deviation,Belt2_length_deviation,TD_length_deviation,IL_length_deviation,PLY1_length_deviation,PLY2_length_deviation,Belt1_width_deviation,Belt2_width_deviation,TD_width_deviation,1BPR_CYCLE_MAT_AT_FRONT,1BPR_CYCLE_TOTAL,2BPR_CYCLE_MAT_AT_FRONT,2BPR_CYCLE_TOTAL,BP1_TOTAL_SCRAP_CUTOUT,BP2_TOTAL_SCRAP_CUTOUT,BPPR_BP1_CYCLE_REST,BPPR_BP2_CYCLE_REST,BR1_LE_ANGLE_MEASURED,BR1_TE_ANGLE_MEASURED,BR2_LE_ANGLE_MEASURED,BR2_TE_ANGLE_MEASURED,BR2_WIDTH_MEASURED,BTPR_CYCLE_TIME_WAIT_CC,DR_SHAPE_PRESSURE_MAX,DR_STITCH_TD_PRESSURE_MAX,DR_TURNUP_PRESSURE_MAX,PR_CYCLE_TIME_1PAP,PR_CYCLE_TIME_PAAP,PR_CYCLE_TIME_STITCH_PA,ISDS_AMOUNT_SPLICES_BP1,ISDS_AMOUNT_SPLICES_BP2,PA_ANGLE_MEASURED,PA_WIDTH_MEASURED,PAPR_CYCLE_MAT_AT_FRONT,PAPR_CYCLE_TOTAL,TDPR_CYCLE_MAT_AT_FRONT,TDPR_CYCLE_TOTAL,BARCODE,FVCW,ONICITY,Upper,ower,tatic,gt_date,Non_Uniformity_Imbalance,Non_Uniformity_RFPP,timeperiod,Rejection_RFPP_Imbalance
3080,1.97,3.47,-1.66,0.46,0.82,0,-3.42,-1.35,-0.58,184.002,215.689,198.349,230.815,0,0,287.507,0,29,28.74,27.96,27.76,184.65,0,0.855922,1.11661,0.664225,0,0,0,0,0,0,0,357.2384,430.21814,91.157,122.448,8309116208,7.68,0.77,21.19,32.62,42.68,25-03-2022,0,0,Control 1,Not Rejected Tyre
3253,1.62,3.85,-1.23,0.02,-0.05,0,-0.58,-0.97,-0.37,29.216,60.765,28.707,60.755,0,0,44.925,0,29.38,29.34,27.85,27.71,185.03,0,0.851038,1.11538,0.663004,0,0,0,0,0,0,0,10.364,60.976,29.614,60.937,8309116261,4.67,-2.99,23.27,7.49,20.69,25-03-2022,0,0,Control 1,Not Rejected Tyre
3078,0.46,0.45,-1.61,0.45,-1.86,0,-0.58,-0.26,0.28,106.398,150.403,118.243,150.378,0,0,44.93,0,29.25,29.39,27.97,28.06,185.74,0,0.85348,1.11783,0.661783,0,0,0,0,0,0,0,14.118,64.788,79.755,131.826,8309116239,5.44,-2.72,3.69,23.5,22.44,25-03-2022,0,0,Control 1,Not Rejected Tyre
3252,0.31,-1.07,-1.13,1.33,0.51,0,-0.58,-2.56,-0.69,29.05,60.77,28.666,60.783,0,0,44.83,0,29.25,29.36,27.8,27.66,183.44,0,0.851038,1.11416,0.660562,0,0,0,0,0,0,0,10.342,60.896,29.564,60.855,8309116245,4.87,-1.24,16.01,18.25,28.02,25-03-2022,0,0,Control 1,Not Rejected Tyre
3251,-0.62,0.62,-2.39,0.42,-0.18,0,0,-0.59,-0.01,29.288,60.784,28.724,60.79,0,0,44.8,0,29.43,29.56,27.79,27.68,185.41,0,0.855922,1.11538,0.662393,0,0,0,0,0,0,0,10.338,61.009,29.637,60.961,8309116265,6.27,-1.57,29.91,19.45,40.61,25-03-2022,0,0,Control 1,Not Rejected Tyre
3250,-0.62,0.62,-2.39,0.42,-0.18,0,0,-0.59,-0.01,29.288,60.784,28.724,60.79,0,0,44.8,0,29.43,29.56,27.79,27.68,185.41,0,0.855922,1.11538,0.662393,0,0,0,0,0,0,0,10.338,61.009,29.637,60.961,8309116265,6.27,-1.57,29.91,19.45,40.61,25-03-2022,0,0,Control 1,Not Rejected Tyre
3249,-1.84,-0.51,-2.36,0.16,-0.54,0,-0.06,-1.68,-0.36,15.09,46.687,14.58,46.694,0,0,268.42,0,29.18,29.33,27.98,27.93,184.32,0,0.851648,1.11538,0.663004,0,0,0,0,0,0,0,42.695,93.426,467.08154,512.76524,8309116254,4.96,-3.77,9.01,10.8,4.39,25-03-2022,0,0,Control 1,Not Rejected Tyre
3248,0.12,-1.82,-1.61,-0.16,-0.9,0,-0.32,-0.59,0.11,29.292,60.785,28.718,60.796,0,0,44.917,0,29.36,29.24,28.1,27.75,185.41,0,0.85348,1.11416,0.660562,0,0,0,0,0,0,0,10.405,60.997,29.726,61.058,8309116260,2.13,-1.33,5.79,12.89,17.91,25-03-2022,0,0,Control 1,Not Rejected Tyre
3247,2.19,1.82,-0.86,-0.24,-0.61,0,-0.37,-1.13,-0.57,37.01,68.506,36.436,68.483,80,0,74.106,0,29.3,29.57,27.89,27.84,184.87,0,0.851648,1.11416,0.663004,0,0,0,0,0,0,0,10.348,60.978,8.231,39.624,8309116255,5.02,2.07,12.85,19.41,24.67,25-03-2022,0,0,Control 1,Not Rejected Tyre
3246,2.19,1.82,-0.86,-0.24,-0.61,0,-0.37,-1.13,-0.57,37.01,68.506,36.436,68.483,80,0,74.106,0,29.3,29.57,27.89,27.84,184.87,0,0.851648,1.11416,0.663004,0,0,0,0,0,0,0,10.348,60.978,8.231,39.624,8309116255,5.02,2.07,12.85,19.41,24.67,25-03-2022,0,0,Control 1,Not Rejected Tyre
3184,-0.7,-1.44,-2.26,2.11,-1.8,0,-0.31,-0.42,-0.09,29.185,60.762,28.633,60.762,0,0,44.718,0,29.34,29.46,27.87,27.95,185.58,0,0.849817,1.11538,0.661783,0,0,0,0,0,0,0,10.333,60.965,29.617,60.938,8309116262,3.737723351,1.638792038,6.781774783,31.07188403,33.84375868,25-03-2022,0,0,Control 1,Not Rejected Tyre
3079,0.81,0.73,-1.38,0,0.16,0,-0.42,0.67,-0.33,29.196,60.779,28.536,60.786,0,0,44.867,0,29.3,29.75,28.21,28.19,186.67,0,0.849206,1.11172,0.661783,0,0,0,0,0,0,0,16.908,67.659,29.848,61.165,8309116232,7.93,1.03,15.76,13.14,20.18,25-03-2022,0,0,Control 1,Not Rejected Tyre
3066,-0.89,-0.01,-0.79,2.83,-0.26,0,-1.79,0.44,0.2,40.3,71.862,28.329,60.813,0,0,44.625,0,29.09,29.19,28.39,27.78,186.44,0,0.855922,1.11538,0.663004,0,0,0,0,0,0,0,10.389,60.963,27.838,59.117,8309116138,8.03,-0.76,27.56,20.12,30.1,25-03-2022,0,0,Control 1,Not Rejected Tyre
3065,0.97,3.19,-1.68,1.36,-0.46,0,-4.1568,-0.7,-0.09,422.48768,472.21774,430.34916,485.08216,0,0,470.86138,0,28.76,28.73,28.06,27.81,185.3,0,0.85409,1.11233,0.663004,0,0,0,0,0,0,0,6.014,59.654,467.08154,512.76524,8309116223,7.29,-3.87,21.54,21.21,16.5,25-03-2022,0,0,Control 1,Not Rejected Tyre
3063,0.23,0.25,-1.25,-1.49,-2.33,0,-0.37,0.12,0.22,29.178,60.72,28.64,60.714,0,0,44.69,0,29.36,29.3,28.13,28.08,186.12,0,0.851648,1.11538,0.662393,0,0,0,0,0,0,0,28.437,79.134,29.365,60.717,8309116235,4.78,-1.81,4.11,27.82,24.31,25-03-2022,0,0,Control 1,Not Rejected Tyre
3161,-0.05,0.14,-1.5,-0.53,-1.7,0,-0.58,-0.31,-0.06,29.245,60.735,28.64,60.753,0,0,44.816,0,29.52,29.38,27.94,27.71,185.69,0,0.848596,1.11233,0.662393,0,0,0,0,0,0,0,10.334,60.98,29.644,60.995,8309116266,4.75,-1.52,11.7,15.61,3.93,25-03-2022,0,0,Control 1,Not Rejected Tyre
3254,0.84,1.78,-1.01,0.02,-1.28,0,-0.31,0.17,-0.48,95.702,148.296,135.824,167.86,0,0,187.373,0,29.54,29.53,27.85,27.8,186.17,0,0.858974,1.116,0.660562,0,0,0,0,0,0,0,10.252,60.914,154.182,185.553,8309116280,5.87,-2.65,3.87,30.74,32.25,25-03-2022,0,0,Control 1,Not Rejected Tyre
3023,-3.16,-0.65,-3.56,-0.11,0.61,0,-0.92,0.45,0.87,21.492,60.48,28.852,60.704,0,0,44.701,0,29.42,29.4,27.2166,27.92,186.45,0,0.851648,1.116,0.661783,0,0,0,0,0,0,0,28.378,78.878,29.462,60.819,8309203742,8.388084412,1.122650146,4.283712593,30.78115433,30.26392597,25-03-2022,0,0,Control 1,Not Rejected Tyre
3024,-1.87,0.68,-1.68,0.86,2.09,0,-1.53,-0.31,0.17,28.88,60.547,28.195,60.572,0,0,44.603,0,29.44,29.17,28.39,28.03,185.69,0,0.85409,1.11783,0.661783,0,0,0,0,0,0,0,10.305,60.741,29.636,60.899,8309116040,8.14365387,1.345029831,13.19746919,36.81136525,46.90952452,25-03-2022,0,0,Control 1,Not Rejected Tyre
3266,1.52,0.42,-1.84,0.92,-1.1,0,-0.32,0.18,-0.13,29.246,60.787,28.621,60.822,0,0,44.844,0,29.4,29.46,27.95,27.89,186.18,0,0.85348,1.11416,0.661783,0,0,0,0,0,0,0,21.512,96.686,29.783,61.055,8309116273,6.73,-1.97,8.35,17.56,19.17,25-03-2022,0,0,Control 1,Not Rejected Tyre
3265,1.52,0.42,-1.84,0.92,-1.1,0,-0.32,0.18,-0.13,29.246,60.787,28.621,60.822,0,0,44.844,0,29.4,29.46,27.95,27.89,186.18,0,0.85348,1.11416,0.661783,0,0,0,0,0,0,0,21.512,96.686,29.783,61.055,8309116273,6.73,-1.97,8.35,17.56,19.17,25-03-2022,0,0,Control 1,Not Rejected Tyre
3049,-1.04,-1.72,-2.53,0.26,2.74,0,-2.55,0.45,-0.09,51.621,83.111,51.217,83.15,0,0,46.975,0,29.44,29.09,27.79,27.93,186.45,0,0.851648,1.11233,0.660562,0,0,0,0,0,0,0,68.892,119.342,30.553,61.792,8309203861,6.966750145,0.341015816,18.34330653,38.66007835,40.63992969,25-03-2022,0,0,Control 1,Not Rejected Tyre
3264,0.05,2.47,-0.32,-0.3,1.1,0,-0.01,0.01,-0.49,29.206,60.673,28.653,60.692,0,0,44.75,0,29.04,29.47,28.11,27.98,186.01,0,0.849817,1.11416,0.663004,0,0,0,0,0,0,0,10.36,60.93,29.631,60.954,8309116271,4.36,-2.82,8.79,3.71,5.66,25-03-2022,0,0,Control 1,Not Rejected Tyre
3056,-2.49,0.16,-1.24,0.96,0.17,0,-0.37,-1.3,0.01,52.327,83.987,46.934,79.513,0,0,109.229,0,29.67,29.59,28.39,27.57,184.7,0,0.856532,1.11661,0.667277,0,0,0,0,0,0,0,33.448,84.046,61.026,92.304,8309116097,5.62,-1.21,8.81,3.5,6.57,25-03-2022,0,0,Control 1,Not Rejected Tyre
3057,2.32,4.5,-0.7,1.33,0.61,0,-2.58,-0.92,-0.82,9.954,41.579,430.34916,485.08216,0,0,48.987,0,28.76,29.17,28.03,27.88,185.08,0,0.858364,1.11538,0.664225,0,0,0,0,0,0,0,44.372,95.024,467.08154,512.76524,8309116214,6.68,-3.82,16.97,19.37,30.76,25-03-2022,0,0,Control 1,Not Rejected Tyre
3058,5.11,2.88,-0.72,0.12,0.13,0,-2.63,0.77,-0.71,25.417,58.853,68.794,101.121,80,0,73.498,0,28.79,28.92,28.26,28.05,186.77,0,0.855922,1.116,0.667277,0,0,0,0,0,0,0,52.401,103.065,58.367,89.714,8309116201,4.83,-1.18,2.86,2.77,2.07,25-03-2022,0,0,Control 1,Not Rejected Tyre
3263,0.38,-0.8,-2.4,-0.5,-0.2,0,-0.42,0.18,-0.39,58.996,90.494,58.37,90.525,0,0,74.573,0,29.4,29.33,27.89,27.5,186.18,0,0.851648,1.116,0.660562,0,0,0,0,0,0,0,15.674,66.3,65.556,96.816,8309116275,2.27,-2.71,1.9,14.93,13.27,25-03-2022,0,0,Control 1,Not Rejected Tyre
3262,2.85,0.51,-1.54,0.11,1.78,0,-1.73,-0.05,-0.23,64.842,96.414,64.245,96.417,0,0,80.621,0,29.35,29.2,27.86,27.93,185.95,0,0.85348,1.11538,0.664225,0,0,0,0,0,0,0,12.096,90.731,29.645,61.021,8309116274,3.65,0.6,8.91,28.83,20.47,25-03-2022,0,0,Control 1,Not Rejected Tyre
3059,-0.65,-0.92,-2,3.05,-0.28,0,-1.68,0.67,-0.04,5.655,39.79166,0.417,39.85566,80,0,208.63,0,29.43,29.26,28.39,27.96,186.67,0,0.857753,1.116,0.660562,0,0,0,0,0,0,0,6.017,56.498,5.049,37.18196,8309116148,3.68,-0.8,18.96,24.87,34.7,25-03-2022,0,0,Control 1,Not Rejected Tyre
3261,0.02,3.56,-2.17,0.68,0.46,0,-0.89,-0.81,0.24,29.104,60.747,28.64,60.78,0,0,49.519,0,29.63,29.23,28.17,27.83,185.19,0,0.85409,1.116,0.662393,0,0,0,0,0,0,0,10.383,61.037,37.423,68.752,8309116256,3.9,-1.44,6.46,12.39,9.3,25-03-2022,0,0,Control 1,Not Rejected Tyre
3260,1.08,2.21,-1.44,1.13,1.32,0,-0.68,-1.41,0.46,115.648,147.325,115.305,147.345,0,0,103.126,0,29.4,29.37,27.2166,27.51,184.59,0,0.85348,1.11416,0.662393,0,0,0,0,0,0,0,10.426,60.971,29.731,61.107,8309116282,5.28,-2.38,19.91,26.75,40.99,25-03-2022,0,0,Control 1,Not Rejected Tyre
